State,Percentage_pop_with_bachelors,Year,Av_temperature,Median_income,Elec_price,Key,perc_of_tot,Gdp_per_working_pop,Energy_per_working_pop,num_jobs_per_working_pop,charging_ports_per_w_pop,label
Vermont,33.1,2009,42.2,66227.0,37.38,Vermont2009,0.0,0.08802428330522766,0.5284553119730185,1.3969005059021922,1.3969005059021922,0
Virginia,34.0,2009,55.4,76586.0,26.23,Virginia2009,0.000401878864065278,0.1084146463713826,0.6408990423932255,1.2552085366818793,1.2552085366818793,0
Washington,31.0,2009,46.0,76448.0,19.41,Washington2009,0.0,0.10712608271318776,0.6197123947785775,1.1637461876296207,1.1637461876296207,0
West Virginia,17.3,2009,51.5,51255.0,19.56,West Virginia2009,0.0,0.07476278358998471,0.8301481133184436,1.0568214411660986,1.0568214411660986,0
Wisconsin,25.7,2009,41.1,64859.0,27.57,Wisconsin2009,0.0,0.0899468781836705,0.6418334303594819,1.2533190219764228,1.2533190219764228,0
Wyoming,23.8,2009,41.3,66420.0,17.94,Wyoming2009,0.0,0.13847211611917495,2.001993888464477,1.4800343773873186,1.4800343773873186,0
Alabama,21.9,2010,62.5,50975.0,26.44,Alabama2010,0.0,0.07903384313550632,0.8660043697329112,1.0970250144914613,1.0970250144914613,0
Alaska,27.9,2010,1.5,72039.0,43.29,Alaska2010,0.0,0.1525067200457535,1.8280411781527024,1.269385187303403,1.269385187303403,0
Arizona,25.9,2010,60.8,58400.0,28.4,Arizona2010,0.0,0.08477738396624472,0.4843412658227848,1.0739480168776372,1.0739480168776372,0
Arkansas,19.5,2010,59.8,48053.0,21.57,Arkansas2010,0.0,0.07573054249682859,0.8426415939109022,1.1501171554361616,1.1501171554361616,0
California,30.1,2010,58.7,67600.0,38.23,California2010,0.0010568704785759839,0.1049160389362856,0.4108267786290691,1.0546108787509463,1.0546108787509463,0
Colorado,36.4,2010,45.0,75009.0,26.9,Colorado2010,0.0,0.10302337268666242,0.6050993139757498,1.2538437300574345,1.2538437300574345,0
Connecticut,35.5,2010,49.3,82189.0,50.95,Connecticut2010,0.0,0.13866241285596123,0.4548375280633345,1.2831933120642798,1.2831933120642798,0
Delaware,27.8,2010,55.6,68759.0,35.09,Delaware2010,0.0,0.13766508875739644,0.630494674556213,1.236449704142012,1.236449704142012,0
