State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key
California,30.1,2010,3693400.0,4633500.0,10298400.0,7651772.0,19642444.0,58.7,67600.0,1954092.7,38.23,17977605.0,190.0,Low,0,1,California2010
Colorado,36.4,2010,459100.0,628900.0,1419200.0,1517105.0,3143637.0,45.0,75009.0,258300.2,26.9,1890748.0,0.0,Low,0,1,Colorado2010
Connecticut,35.5,2010,283000.0,361400.0,1048200.0,769858.0,2171933.0,49.3,82189.0,234700.0,50.95,1985500.0,0.0,Low,0,1,Connecticut2010
Delaware,27.8,2010,80300.0,97400.0,244800.0,266384.0,522400.0,55.6,68759.0,58163.5,35.09,434037.0,0.0,Low,0,1,Delaware2010
District of Columbia,50.1,2010,75500.0,106200.0,154100.0,190379.0,809137.0,59.8,70893.0,106146.9,39.14,160090.0,0.0,Low,0,1,District of Columbia2010
Florida,25.8,2010,1639200.0,1947000.0,5089300.0,4319171.0,9805154.0,70.8,54876.0,746928.9,31.01,7295121.0,0.0,Low,0,1,Florida2010
Georgia,27.3,2010,880400.0,1133400.0,2742600.0,3147631.0,5211352.0,63.0,54940.0,418091.3,26.07,3738952.0,0.0,Low,0,1,Georgia2010
Hawaii,29.5,2010,114800.0,142500.0,362300.0,297556.0,824460.0,77.1,74145.0,66872.9,73.8,450398.0,0.0,Low,0,1,Hawaii2010
Idaho,24.4,2010,145200.0,182700.0,394800.0,523118.0,868718.0,43.1,58592.0,55587.6,19.18,541038.0,0.0,Low,0,1,Idaho2010
Illinois,30.8,2010,1144800.0,1561900.0,3559600.0,3981181.0,7251002.0,51.5,63173.0,666404.8,26.82,5772947.0,0.0,Low,0,1,Illinois2010
Indiana,22.7,2010,570800.0,725800.0,1766800.0,2852101.0,3525335.0,51.5,57458.0,282562.2,22.55,2986033.0,0.0,Low,0,1,Indiana2010
Iowa,24.9,2010,267000.0,335900.0,801000.0,1498067.0,1950444.0,46.7,61041.0,142233.9,22.44,1691090.0,0.0,Low,0,1,Iowa2010
Kansas,29.8,2010,257000.0,317700.0,745200.0,1109761.0,1801873.0,53.2,57352.0,128591.3,24.52,880308.0,0.0,Low,0,1,Kansas2010
Kentucky,20.5,2010,378400.0,490000.0,1195000.0,2002994.0,2325921.0,55.4,51188.0,166408.7,19.81,1890079.0,0.0,Low,0,1,Kentucky2010
